195.15	5.87e-19
195.67	5.99e-19
196.19	6.12e-19
196.67	6.45e-19
197.10	6.90e-19
197.49	7.37e-19
197.81	7.94e-19
198.08	8.59e-19
198.31	9.27e-19
198.56	9.89e-19
198.81	1.05e-18
199.09	1.11e-18
199.32	1.16e-18
199.43	1.17e-18
199.81	1.16e-18
200.28	1.13e-18
200.83	1.15e-18
201.30	1.18e-18
201.71	1.23e-18
201.83	1.26e-18
202.06	1.33e-18
202.27	1.41e-18
202.39	1.49e-18
202.53	1.56e-18
202.65	1.65e-18
202.74	1.72e-18
202.88	1.82e-18
203.06	1.93e-18
203.23	2.03e-18
203.44	2.12e-18
203.59	2.16e-18
203.76	2.11e-18
203.91	2.01e-18
204.04	1.93e-18
204.10	1.80e-18
204.25	1.68e-18
204.38	1.57e-18
204.56	1.47e-18
204.84	1.37e-18
205.14	1.31e-18
205.57	1.25e-18
206.02	1.26e-18
206.34	1.32e-18
206.56	1.39e-18
206.64	1.42e-18
206.83	1.49e-18
206.98	1.56e-18
207.10	1.64e-18
207.22	1.74e-18
207.37	1.84e-18
207.39	1.93e-18
207.46	2.01e-18
207.51	2.15e-18
207.56	2.30e-18
207.68	2.41e-18
207.80	2.53e-18
207.93	2.57e-18
208.21	2.61e-18
208.21	2.61e-18
208.44	2.54e-18
208.62	2.47e-18
208.89	2.36e-18
209.18	2.19e-18
209.35	2.01e-18
209.54	1.84e-18
209.91	1.72e-18
210.38	1.83e-18
210.68	1.98e-18
210.93	2.13e-18
211.12	2.40e-18
211.21	2.67e-18
211.25	2.88e-18
211.49	3.14e-18
211.74	3.37e-18
212.04	3.59e-18
212.27	3.76e-18
212.50	3.89e-18
212.72	3.83e-18
212.94	3.71e-18
213.17	3.54e-18
213.42	3.34e-18
213.66	3.08e-18
213.89	2.84e-18
214.09	2.62e-18
214.30	2.38e-18
214.48	2.10e-18
214.56	1.79e-18
214.69	1.47e-18
214.90	1.17e-18
215.30	8.71e-19
215.76	6.77e-19
216.04	5.83e-19
216.37	5.18e-19
216.54	4.89e-19
216.85	4.27e-19
217.30	3.75e-19
217.75	3.19e-19
218.23	2.72e-19
218.46	2.55e-19
218.99	2.20e-19
219.59	1.79e-19
220.19	1.45e-19
220.83	1.16e-19
221.43	9.28e-20
222.07	7.29e-20
222.30	6.16e-20
222.66	5.03e-20
222.96	3.90e-20
223.19	3.63e-20
223.36	3.43e-20
223.54	3.14e-20
223.78	2.89e-20
224.10	2.63e-20
224.42	2.39e-20
224.78	2.10e-20
225.14	1.85e-20
225.49	1.62e-20
225.91	1.41e-20
226.44	1.20e-20
226.85	1.07e-20
227.41	9.13e-21
227.79	8.19e-21
228.14	7.55e-21
228.80	6.38e-21
229.30	5.82e-21
229.86	5.39e-21
230.40	4.89e-21
231.03	4.55e-21
231.64	4.17e-21
232.27	3.82e-21
232.92	3.53e-21
233.63	3.25e-21
234.34	3.08e-21
235.09	2.91e-21
235.84	2.74e-21
236.60	2.57e-21
237.37	2.37e-21
238.13	2.32e-21
238.91	2.21e-21
239.69	2.13e-21
240.50	2.07e-21
241.29	1.96e-21
242.15	1.91e-21
242.99	1.89e-21
243.79	1.84e-21
244.64	1.82e-21
245.49	1.83e-21
246.38	1.83e-21
247.20	1.93e-21
248.07	1.94e-21
248.94	2.00e-21
249.83	1.98e-21
250.75	2.02e-21
251.64	2.06e-21
252.54	2.12e-21
253.48	2.16e-21
254.40	2.26e-21
255.28	2.29e-21
256.20	2.30e-21
257.13	2.40e-21
258.07	2.46e-21
259.02	2.56e-21
259.97	2.66e-21
260.93	2.78e-21
261.85	2.88e-21
