#
# 16.8 - 59.0 nm
#
#   AUTHOR(YEAR): Hitchcock(1980)
#   T:  298K
#   λ:  16.8-155nm(e,e)
#   BIBLIOGRAPHY: A.P. Hitchcock, C.E. Brion, and M.J. van der Wiel, 
#   "Absolute oscillator-strengths for valence-shell ionic photofragmentation of N2O and CO2 (8-75 eV)", 
#   Chem. Phys. 45, 461-478 (1980); DOI: 10.1016/0301-0104(80)87015-7
#   COMMENTS: Measured by dipole (e,e) spectroscopy; energies E (in eV) and differential oscillator strengths 
#   df/dE (in 10-2 eV-1) converted to wavelengths and absorption cross sections,
#   σ (in 10-18 cm2 molecule-1) = 109.75 df/dE (in eV-1)
#
#   * data is taken from Spectral Atlas: 
#     Keller-Rudek, H., Moortgat, G. K., Sander, R., and Sörensen, R.: 
#     The MPI-Mainz UV/VIS spectral atlas of gaseous molecules of atmospheric interest, 
#     Earth Syst. Sci. Data, 5, 365–373, (2013), DOI: 10.5194/essd-5-365-2013
#
# 60.0 - 99.9 nm:
#
#   AUTHOR(YEAR): Cook(1968)
#   T:  298K
#   λ:  60.0-99.9nm
#   BIBLIOGRAPHY: G.R. Cook, P.H. Metzger, and M. Ogawa, "Photoionization and absorption coefficients of N2O", 
#   J. Opt. Soc. Am. 58, 129-136 (1968); DOI: 10.1364/JOSA.58.000129
#   COMMENTS: Absorption measurements at a spectral resolution of 0.05 nm using the Hopfield-continuum light source
#   Absorption coefficients k in (atm, 273 K)-1 cm-1 (base e) from Table I converted to absorption cross sections; 
#   conversion factor 3.72×10-20
#
#   * data is taken from Spectral Atlas: 
#     Keller-Rudek, H., Moortgat, G. K., Sander, R., and Sörensen, R.: 
#     The MPI-Mainz UV/VIS spectral atlas of gaseous molecules of atmospheric interest, 
#     Earth Syst. Sci. Data, 5, 365–373, (2013), DOI: 10.5194/essd-5-365-2013
#
# 108.20 - 122.18 nm:
#
#   AUTHOR(YEAR): Zelikoff(1953)
#   T:  298K
#   λ:  108.2-122.6nm
#   BIBLIOGRAPHY: M. Zelikoff, K. Watanabe, and E.C.Y. Inn, 
#   "Absorption coefficients of gases in the vacuum ultraviolet. Part II. Nitrous oxide", 
#   J. Chem. Phys. 21, 1643-1647 (1953); DOI: 10.1063/1.1698636
#   COMMENTS: Absorption measurements using a vacuum monochromator with a band width of 0.085 nm and a hydrogen 
#   discharge light source
#   Absorption coefficients k (atm, 273 K)-1 cm-1 (base e) plotted in Fig. 1 have been digitized and converted to 
#   absorption cross sections (conversion factor 3.72×10-20)
#
#   * data is taken from Spectral Atlas: 
#     Keller-Rudek, H., Moortgat, G. K., Sander, R., and Sörensen, R.: 
#     The MPI-Mainz UV/VIS spectral atlas of gaseous molecules of atmospheric interest, 
#     Earth Syst. Sci. Data, 5, 365–373, (2013), DOI: 10.5194/essd-5-365-2013
#
# 122.25 - 172.88 nm:
#
#   AUTHOR(YEAR): Rabalais(1971)
#   T:  298K
#   λ:  122.25-214.65nm
#   BIBLIOGRAPHY: J.W. Rabalais, J.M. McDonald, V. Scherr, and S.P. McGlynn, "Electronic spectroscopy of isoelectronic molecules. II. 
#   Linear triatomic groupings containing sixteen valence electrons", Chem. Rev. 71, 73-108 (1971); DOI: 10.1021/cr60269a004
#   COMMENTS: Absorption spectra were recorded on Cary 14 and 15 and McPherson 225 (1-m) spectrophotomers, absorption pathlengths 
#   ranged from 0.1 to 10 cm
#   Extinction coefficients vs. wavenumber as plotted in Fig. 9 have been digitized and converted to absorption cross sections 
#   (conversion factor 3.8235×10-21) vs. wavelength
#
#   * data is taken from Spectral Atlas: 
#     Keller-Rudek, H., Moortgat, G. K., Sander, R., and Sörensen, R.: 
#     The MPI-Mainz UV/VIS spectral atlas of gaseous molecules of atmospheric interest, 
#     Earth Syst. Sci. Data, 5, 365–373, (2013), DOI: 10.5194/essd-5-365-2013
#
# 173 - 210 nm:
#
#  FORMULA:	N2O
#  AUTHOR(YEAR):	Selwyn(1977)
#  T:	194K, 225K, 243K, 263K, 302K
#  λ:	173-210nm
#  BIBLIOGRAPHY:	G. Selwyn, J. Podolske, and H.S. Johnston, 
#  "Nitrous oxide ultraviolet absorption spectrum at stratospheric temperatures", 
#  Geophys. Res. Lett. 4, 427-430 (1977); DOI: 10.1029/GL004i010p00427
#  COMMENTS:	Data points were taken every 0.2 nm over the wavelength range studied with a resolution of 0.7 nm
#
#   * data is taken from Spectral Atlas: 
#     Keller-Rudek, H., Moortgat, G. K., Sander, R., and Sörensen, R.: 
#     The MPI-Mainz UV/VIS spectral atlas of gaseous molecules of atmospheric interest, 
#     Earth Syst. Sci. Data, 5, 365–373, (2013), DOI: 10.5194/essd-5-365-2013
#  
#  nm     194 K      225 K      243 K      263 K      302 K
 76.65  5.32e-17   5.32e-17   5.32e-17   5.32e-17   5.32e-17
 76.70  3.70e-17   3.70e-17   3.70e-17   3.70e-17   3.70e-17
 76.75  3.87e-17   3.87e-17   3.87e-17   3.87e-17   3.87e-17
 76.85  3.11e-17   3.11e-17   3.11e-17   3.11e-17   3.11e-17
 76.92  5.80e-17   5.80e-17   5.80e-17   5.80e-17   5.80e-17
 77.00  4.61e-17   4.61e-17   4.61e-17   4.61e-17   4.61e-17
 77.15  2.83e-17   2.83e-17   2.83e-17   2.83e-17   2.83e-17
 77.23  2.60e-17   2.60e-17   2.60e-17   2.60e-17   2.60e-17
 77.40  8.26e-17   8.26e-17   8.26e-17   8.26e-17   8.26e-17
 77.50  5.43e-17   5.43e-17   5.43e-17   5.43e-17   5.43e-17
 77.55  5.80e-17   5.80e-17   5.80e-17   5.80e-17   5.80e-17
 77.60  5.25e-17   5.25e-17   5.25e-17   5.25e-17   5.25e-17
 77.65  5.43e-17   5.43e-17   5.43e-17   5.43e-17   5.43e-17
 77.80  3.12e-17   3.12e-17   3.12e-17   3.12e-17   3.12e-17
 77.90  3.53e-17   3.53e-17   3.53e-17   3.53e-17   3.53e-17
 78.00  3.16e-17   3.16e-17   3.16e-17   3.16e-17   3.16e-17
 78.10  3.79e-17   3.79e-17   3.79e-17   3.79e-17   3.79e-17
 78.25  1.02e-16   1.02e-16   1.02e-16   1.02e-16   1.02e-16
 78.40  2.83e-17   2.83e-17   2.83e-17   2.83e-17   2.83e-17
 78.50  3.20e-17   3.20e-17   3.20e-17   3.20e-17   3.20e-17
 78.60  2.19e-17   2.19e-17   2.19e-17   2.19e-17   2.19e-17
 78.70  2.31e-17   2.31e-17   2.31e-17   2.31e-17   2.31e-17
 78.85  3.91e-17   3.91e-17   3.91e-17   3.91e-17   3.91e-17
 79.00  6.47e-17   6.47e-17   6.47e-17   6.47e-17   6.47e-17
 79.30  2.05e-17   2.05e-17   2.05e-17   2.05e-17   2.05e-17
 79.45  3.27e-17   3.27e-17   3.27e-17   3.27e-17   3.27e-17
 79.65  2.72e-17   2.72e-17   2.72e-17   2.72e-17   2.72e-17
 79.80  7.40e-17   7.40e-17   7.40e-17   7.40e-17   7.40e-17
 80.00  2.47e-17   2.47e-17   2.47e-17   2.47e-17   2.47e-17
 80.20  2.40e-17   2.40e-17   2.40e-17   2.40e-17   2.40e-17
 80.30  2.99e-17   2.99e-17   2.99e-17   2.99e-17   2.99e-17
 80.40  2.05e-17   2.05e-17   2.05e-17   2.05e-17   2.05e-17
 80.75  2.19e-17   2.19e-17   2.19e-17   2.19e-17   2.19e-17
 80.95  2.28e-17   2.28e-17   2.28e-17   2.28e-17   2.28e-17
 81.10  2.36e-17   2.36e-17   2.36e-17   2.36e-17   2.36e-17
 81.40  2.77e-17   2.77e-17   2.77e-17   2.77e-17   2.77e-17
 81.60  3.03e-17   3.03e-17   3.03e-17   3.03e-17   3.03e-17
 81.75  3.91e-17   3.91e-17   3.91e-17   3.91e-17   3.91e-17
 81.90  3.31e-17   3.31e-17   3.31e-17   3.31e-17   3.31e-17
 82.05  3.61e-17   3.61e-17   3.61e-17   3.61e-17   3.61e-17
 82.15  3.39e-17   3.39e-17   3.39e-17   3.39e-17   3.39e-17
 82.35  3.83e-17   3.83e-17   3.83e-17   3.83e-17   3.83e-17
 82.55  4.69e-17   4.69e-17   4.69e-17   4.69e-17   4.69e-17
 82.82  3.03e-17   3.03e-17   3.03e-17   3.03e-17   3.03e-17
 82.90  3.44e-17   3.44e-17   3.44e-17   3.44e-17   3.44e-17
 82.95  3.40e-17   3.40e-17   3.40e-17   3.40e-17   3.40e-17
 83.20  3.50e-17   3.50e-17   3.50e-17   3.50e-17   3.50e-17
 83.38  7.96e-17   7.96e-17   7.96e-17   7.96e-17   7.96e-17
 83.45  7.81e-17   7.81e-17   7.81e-17   7.81e-17   7.81e-17
 83.60  1.03e-16   1.03e-16   1.03e-16   1.03e-16   1.03e-16
 83.76  4.65e-17   4.65e-17   4.65e-17   4.65e-17   4.65e-17
 83.90  4.98e-17   4.98e-17   4.98e-17   4.98e-17   4.98e-17
 84.20  4.05e-17   4.05e-17   4.05e-17   4.05e-17   4.05e-17
 84.30  3.44e-17   3.44e-17   3.44e-17   3.44e-17   3.44e-17
 84.60  3.27e-17   3.27e-17   3.27e-17   3.27e-17   3.27e-17
 84.80  3.59e-17   3.59e-17   3.59e-17   3.59e-17   3.59e-17
 85.00  3.16e-17   3.16e-17   3.16e-17   3.16e-17   3.16e-17
 85.50  2.99e-17   2.99e-17   2.99e-17   2.99e-17   2.99e-17
 85.90  2.79e-17   2.79e-17   2.79e-17   2.79e-17   2.79e-17
 86.00  2.79e-17   2.79e-17   2.79e-17   2.79e-17   2.79e-17
 86.20  2.73e-17   2.73e-17   2.73e-17   2.73e-17   2.73e-17
 86.50  2.81e-17   2.81e-17   2.81e-17   2.81e-17   2.81e-17
 86.95  2.60e-17   2.60e-17   2.60e-17   2.60e-17   2.60e-17
 87.10  3.11e-17   3.11e-17   3.11e-17   3.11e-17   3.11e-17
 87.30  2.98e-17   2.98e-17   2.98e-17   2.98e-17   2.98e-17
 87.40  2.59e-17   2.59e-17   2.59e-17   2.59e-17   2.59e-17
 87.60  2.73e-17   2.73e-17   2.73e-17   2.73e-17   2.73e-17
 87.80  2.46e-17   2.46e-17   2.46e-17   2.46e-17   2.46e-17
 88.10  3.27e-17   3.27e-17   3.27e-17   3.27e-17   3.27e-17
 88.25  2.66e-17   2.66e-17   2.66e-17   2.66e-17   2.66e-17
 88.35  2.40e-17   2.40e-17   2.40e-17   2.40e-17   2.40e-17
 88.50  3.20e-17   3.20e-17   3.20e-17   3.20e-17   3.20e-17
 88.90  2.29e-17   2.29e-17   2.29e-17   2.29e-17   2.29e-17
 89.20  4.28e-17   4.28e-17   4.28e-17   4.28e-17   4.28e-17
 89.60  2.99e-17   2.99e-17   2.99e-17   2.99e-17   2.99e-17
 89.80  2.77e-17   2.77e-17   2.77e-17   2.77e-17   2.77e-17
 90.20  2.68e-17   2.68e-17   2.68e-17   2.68e-17   2.68e-17
 90.80  2.38e-17   2.38e-17   2.38e-17   2.38e-17   2.38e-17
 91.50  2.05e-17   2.05e-17   2.05e-17   2.05e-17   2.05e-17
 91.80  2.05e-17   2.05e-17   2.05e-17   2.05e-17   2.05e-17
 92.20  1.93e-17   1.93e-17   1.93e-17   1.93e-17   1.93e-17
 92.40  1.86e-17   1.86e-17   1.86e-17   1.86e-17   1.86e-17
 93.00  1.80e-17   1.80e-17   1.80e-17   1.80e-17   1.80e-17
 93.20  1.75e-17   1.75e-17   1.75e-17   1.75e-17   1.75e-17
 93.50  1.69e-17   1.69e-17   1.69e-17   1.69e-17   1.69e-17
 93.80  1.45e-17   1.45e-17   1.45e-17   1.45e-17   1.45e-17
 94.00  1.36e-17   1.36e-17   1.36e-17   1.36e-17   1.36e-17
 94.30  1.38e-17   1.38e-17   1.38e-17   1.38e-17   1.38e-17
 94.70  1.35e-17   1.35e-17   1.35e-17   1.35e-17   1.35e-17
 95.00  1.28e-17   1.28e-17   1.28e-17   1.28e-17   1.28e-17
 95.15  1.25e-17   1.25e-17   1.25e-17   1.25e-17   1.25e-17
 95.25  1.28e-17   1.28e-17   1.28e-17   1.28e-17   1.28e-17
 95.50  1.26e-17   1.26e-17   1.26e-17   1.26e-17   1.26e-17
 96.00  1.26e-17   1.26e-17   1.26e-17   1.26e-17   1.26e-17
 96.30  1.25e-17   1.25e-17   1.25e-17   1.25e-17   1.25e-17
 96.60  2.86e-17   2.86e-17   2.86e-17   2.86e-17   2.86e-17
 96.80  1.54e-17   1.54e-17   1.54e-17   1.54e-17   1.54e-17
 96.90  1.77e-17   1.77e-17   1.77e-17   1.77e-17   1.77e-17
 97.00  1.41e-17   1.41e-17   1.41e-17   1.41e-17   1.41e-17
 97.17  1.30e-17   1.30e-17   1.30e-17   1.30e-17   1.30e-17
 97.30  2.72e-17   2.72e-17   2.72e-17   2.72e-17   2.72e-17
 97.45  1.32e-17   1.32e-17   1.32e-17   1.32e-17   1.32e-17
 97.60  6.70e-18   6.70e-18   6.70e-18   6.70e-18   6.70e-18
 97.65  8.82e-18   8.82e-18   8.82e-18   8.82e-18   8.82e-18
 97.70  8.00e-18   8.00e-18   8.00e-18   8.00e-18   8.00e-18
 97.85  3.83e-17   3.83e-17   3.83e-17   3.83e-17   3.83e-17
 98.05  3.40e-17   3.40e-17   3.40e-17   3.40e-17   3.40e-17
 98.10  2.03e-17   2.03e-17   2.03e-17   2.03e-17   2.03e-17
 98.20  2.83e-17   2.83e-17   2.83e-17   2.83e-17   2.83e-17
 98.40  2.01e-17   2.01e-17   2.01e-17   2.01e-17   2.01e-17
 98.50  7.44e-17   7.44e-17   7.44e-17   7.44e-17   7.44e-17
 98.60  4.84e-17   4.84e-17   4.84e-17   4.84e-17   4.84e-17
 98.70  5.06e-17   5.06e-17   5.06e-17   5.06e-17   5.06e-17
 98.90  1.93e-17   1.93e-17   1.93e-17   1.93e-17   1.93e-17
 99.05  3.27e-17   3.27e-17   3.27e-17   3.27e-17   3.27e-17
 99.30  2.23e-17   2.23e-17   2.23e-17   2.23e-17   2.23e-17
 99.40  2.10e-17   2.10e-17   2.10e-17   2.10e-17   2.10e-17
 99.65  5.51e-17   5.51e-17   5.51e-17   5.51e-17   5.51e-17
 99.75  3.09e-17   3.09e-17   3.09e-17   3.09e-17   3.09e-17
 99.85  4.43e-17   4.43e-17   4.43e-17   4.43e-17   4.43e-17
 99.90  3.20e-17   3.20e-17   3.20e-17   3.20e-17   3.20e-17
108.20  3.34e-17   3.34e-17   3.34e-17   3.34e-17   3.34e-17
108.30  3.47e-17   3.47e-17   3.47e-17   3.47e-17   3.47e-17
108.43  3.71e-17   3.71e-17   3.71e-17   3.71e-17   3.71e-17
108.55  3.96e-17   3.96e-17   3.96e-17   3.96e-17   3.96e-17
108.67  4.32e-17   4.32e-17   4.32e-17   4.32e-17   4.32e-17
108.79  4.69e-17   4.69e-17   4.69e-17   4.69e-17   4.69e-17
108.85  4.95e-17   4.95e-17   4.95e-17   4.95e-17   4.95e-17
108.94  5.14e-17   5.14e-17   5.14e-17   5.14e-17   5.14e-17
109.02  4.87e-17   4.87e-17   4.87e-17   4.87e-17   4.87e-17
109.11  4.50e-17   4.50e-17   4.50e-17   4.50e-17   4.50e-17
109.19  4.02e-17   4.02e-17   4.02e-17   4.02e-17   4.02e-17
109.23  3.66e-17   3.66e-17   3.66e-17   3.66e-17   3.66e-17
109.29  3.44e-17   3.44e-17   3.44e-17   3.44e-17   3.44e-17
109.32  3.26e-17   3.26e-17   3.26e-17   3.26e-17   3.26e-17
109.36  3.07e-17   3.07e-17   3.07e-17   3.07e-17   3.07e-17
109.38  2.95e-17   2.95e-17   2.95e-17   2.95e-17   2.95e-17
109.43  2.78e-17   2.78e-17   2.78e-17   2.78e-17   2.78e-17
109.49  2.69e-17   2.69e-17   2.69e-17   2.69e-17   2.69e-17
109.58  2.70e-17   2.70e-17   2.70e-17   2.70e-17   2.70e-17
109.60  2.82e-17   2.82e-17   2.82e-17   2.82e-17   2.82e-17
109.67  3.22e-17   3.22e-17   3.22e-17   3.22e-17   3.22e-17
109.71  3.63e-17   3.63e-17   3.63e-17   3.63e-17   3.63e-17
109.75  4.14e-17   4.14e-17   4.14e-17   4.14e-17   4.14e-17
109.77  4.59e-17   4.59e-17   4.59e-17   4.59e-17   4.59e-17
109.81  5.01e-17   5.01e-17   5.01e-17   5.01e-17   5.01e-17
109.93  5.43e-17   5.43e-17   5.43e-17   5.43e-17   5.43e-17
110.08  5.29e-17   5.29e-17   5.29e-17   5.29e-17   5.29e-17
110.22  4.94e-17   4.94e-17   4.94e-17   4.94e-17   4.94e-17
110.38  4.72e-17   4.72e-17   4.72e-17   4.72e-17   4.72e-17
110.55  4.69e-17   4.69e-17   4.69e-17   4.69e-17   4.69e-17
110.70  4.57e-17   4.57e-17   4.57e-17   4.57e-17   4.57e-17
110.81  4.16e-17   4.16e-17   4.16e-17   4.16e-17   4.16e-17
110.92  3.79e-17   3.79e-17   3.79e-17   3.79e-17   3.79e-17
111.01  3.42e-17   3.42e-17   3.42e-17   3.42e-17   3.42e-17
111.10  3.09e-17   3.09e-17   3.09e-17   3.09e-17   3.09e-17
111.21  2.82e-17   2.82e-17   2.82e-17   2.82e-17   2.82e-17
111.36  2.69e-17   2.69e-17   2.69e-17   2.69e-17   2.69e-17
111.52  2.63e-17   2.63e-17   2.63e-17   2.63e-17   2.63e-17
111.64  2.88e-17   2.88e-17   2.88e-17   2.88e-17   2.88e-17
111.71  3.26e-17   3.26e-17   3.26e-17   3.26e-17   3.26e-17
111.79  3.50e-17   3.50e-17   3.50e-17   3.50e-17   3.50e-17
111.89  3.31e-17   3.31e-17   3.31e-17   3.31e-17   3.31e-17
111.97  3.05e-17   3.05e-17   3.05e-17   3.05e-17   3.05e-17
112.05  2.74e-17   2.74e-17   2.74e-17   2.74e-17   2.74e-17
112.11  2.51e-17   2.51e-17   2.51e-17   2.51e-17   2.51e-17
112.15  2.30e-17   2.30e-17   2.30e-17   2.30e-17   2.30e-17
112.23  2.06e-17   2.06e-17   2.06e-17   2.06e-17   2.06e-17
112.34  1.89e-17   1.89e-17   1.89e-17   1.89e-17   1.89e-17
112.49  1.95e-17   1.95e-17   1.95e-17   1.95e-17   1.95e-17
112.60  2.11e-17   2.11e-17   2.11e-17   2.11e-17   2.11e-17
112.69  2.34e-17   2.34e-17   2.34e-17   2.34e-17   2.34e-17
112.78  2.59e-17   2.59e-17   2.59e-17   2.59e-17   2.59e-17
112.85  2.90e-17   2.90e-17   2.90e-17   2.90e-17   2.90e-17
112.92  3.27e-17   3.27e-17   3.27e-17   3.27e-17   3.27e-17
112.99  3.47e-17   3.47e-17   3.47e-17   3.47e-17   3.47e-17
113.04  3.36e-17   3.36e-17   3.36e-17   3.36e-17   3.36e-17
113.12  3.05e-17   3.05e-17   3.05e-17   3.05e-17   3.05e-17
113.19  2.76e-17   2.76e-17   2.76e-17   2.76e-17   2.76e-17
113.24  2.54e-17   2.54e-17   2.54e-17   2.54e-17   2.54e-17
113.28  2.38e-17   2.38e-17   2.38e-17   2.38e-17   2.38e-17
113.38  2.14e-17   2.14e-17   2.14e-17   2.14e-17   2.14e-17
113.53  1.90e-17   1.90e-17   1.90e-17   1.90e-17   1.90e-17
113.64  1.95e-17   1.95e-17   1.95e-17   1.95e-17   1.95e-17
113.78  2.07e-17   2.07e-17   2.07e-17   2.07e-17   2.07e-17
113.89  2.18e-17   2.18e-17   2.18e-17   2.18e-17   2.18e-17
114.03  2.30e-17   2.30e-17   2.30e-17   2.30e-17   2.30e-17
114.19  2.40e-17   2.40e-17   2.40e-17   2.40e-17   2.40e-17
114.35  2.39e-17   2.39e-17   2.39e-17   2.39e-17   2.39e-17
114.48  2.22e-17   2.22e-17   2.22e-17   2.22e-17   2.22e-17
114.56  2.00e-17   2.00e-17   2.00e-17   2.00e-17   2.00e-17
114.64  1.80e-17   1.80e-17   1.80e-17   1.80e-17   1.80e-17
114.72  1.60e-17   1.60e-17   1.60e-17   1.60e-17   1.60e-17
114.79  1.45e-17   1.45e-17   1.45e-17   1.45e-17   1.45e-17
114.89  1.32e-17   1.32e-17   1.32e-17   1.32e-17   1.32e-17
115.00  1.20e-17   1.20e-17   1.20e-17   1.20e-17   1.20e-17
115.08  1.16e-17   1.16e-17   1.16e-17   1.16e-17   1.16e-17
115.16  1.27e-17   1.27e-17   1.27e-17   1.27e-17   1.27e-17
115.17  1.54e-17   1.54e-17   1.54e-17   1.54e-17   1.54e-17
115.17  1.82e-17   1.82e-17   1.82e-17   1.82e-17   1.82e-17
115.23  2.01e-17   2.01e-17   2.01e-17   2.01e-17   2.01e-17
115.31  2.14e-17   2.14e-17   2.14e-17   2.14e-17   2.14e-17
115.41  1.89e-17   1.89e-17   1.89e-17   1.89e-17   1.89e-17
115.47  1.70e-17   1.70e-17   1.70e-17   1.70e-17   1.70e-17
115.53  1.53e-17   1.53e-17   1.53e-17   1.53e-17   1.53e-17
115.58  1.39e-17   1.39e-17   1.39e-17   1.39e-17   1.39e-17
115.67  1.25e-17   1.25e-17   1.25e-17   1.25e-17   1.25e-17
115.82  1.28e-17   1.28e-17   1.28e-17   1.28e-17   1.28e-17
115.96  1.36e-17   1.36e-17   1.36e-17   1.36e-17   1.36e-17
116.08  1.27e-17   1.27e-17   1.27e-17   1.27e-17   1.27e-17
116.14  1.17e-17   1.17e-17   1.17e-17   1.17e-17   1.17e-17
116.20  9.98e-18   9.98e-18   9.98e-18   9.98e-18   9.98e-18
116.23  8.66e-18   8.66e-18   8.66e-18   8.66e-18   8.66e-18
116.30  7.70e-18   7.70e-18   7.70e-18   7.70e-18   7.70e-18
116.41  8.04e-18   8.04e-18   8.04e-18   8.04e-18   8.04e-18
116.49  9.12e-18   9.12e-18   9.12e-18   9.12e-18   9.12e-18
116.53  9.95e-18   9.95e-18   9.95e-18   9.95e-18   9.95e-18
116.55  1.06e-17   1.06e-17   1.06e-17   1.06e-17   1.06e-17
116.64  1.06e-17   1.06e-17   1.06e-17   1.06e-17   1.06e-17
116.79  1.01e-17   1.01e-17   1.01e-17   1.01e-17   1.01e-17
116.94  1.07e-17   1.07e-17   1.07e-17   1.07e-17   1.07e-17
117.07  1.16e-17   1.16e-17   1.16e-17   1.16e-17   1.16e-17
117.18  1.26e-17   1.26e-17   1.26e-17   1.26e-17   1.26e-17
117.34  1.29e-17   1.29e-17   1.29e-17   1.29e-17   1.29e-17
117.50  1.23e-17   1.23e-17   1.23e-17   1.23e-17   1.23e-17
117.58  1.28e-17   1.28e-17   1.28e-17   1.28e-17   1.28e-17
117.60  1.56e-17   1.56e-17   1.56e-17   1.56e-17   1.56e-17
117.62  1.90e-17   1.90e-17   1.90e-17   1.90e-17   1.90e-17
117.64  2.38e-17   2.38e-17   2.38e-17   2.38e-17   2.38e-17
117.64  2.37e-17   2.37e-17   2.37e-17   2.37e-17   2.37e-17
117.66  3.71e-17   3.71e-17   3.71e-17   3.71e-17   3.71e-17
117.66  5.70e-17   5.70e-17   5.70e-17   5.70e-17   5.70e-17
117.68  6.57e-17   6.57e-17   6.57e-17   6.57e-17   6.57e-17
117.70  7.44e-17   7.44e-17   7.44e-17   7.44e-17   7.44e-17
117.72  8.74e-17   8.74e-17   8.74e-17   8.74e-17   8.74e-17
117.74  9.92e-17   9.92e-17   9.92e-17   9.92e-17   9.92e-17
117.82  1.09e-16   1.09e-16   1.09e-16   1.09e-16   1.09e-16
117.89  9.12e-17   9.12e-17   9.12e-17   9.12e-17   9.12e-17
117.91  8.00e-17   8.00e-17   8.00e-17   8.00e-17   8.00e-17
117.92  6.48e-17   6.48e-17   6.48e-17   6.48e-17   6.48e-17
117.94  5.31e-17   5.31e-17   5.31e-17   5.31e-17   5.31e-17
117.97  4.10e-17   4.10e-17   4.10e-17   4.10e-17   4.10e-17
118.00  3.26e-17   3.26e-17   3.26e-17   3.26e-17   3.26e-17
118.02  2.59e-17   2.59e-17   2.59e-17   2.59e-17   2.59e-17
118.07  2.09e-17   2.09e-17   2.09e-17   2.09e-17   2.09e-17
118.11  1.76e-17   1.76e-17   1.76e-17   1.76e-17   1.76e-17
118.16  1.53e-17   1.53e-17   1.53e-17   1.53e-17   1.53e-17
118.27  1.37e-17   1.37e-17   1.37e-17   1.37e-17   1.37e-17
118.35  1.23e-17   1.23e-17   1.23e-17   1.23e-17   1.23e-17
118.38  1.18e-17   1.18e-17   1.18e-17   1.18e-17   1.18e-17
118.46  1.06e-17   1.06e-17   1.06e-17   1.06e-17   1.06e-17
118.53  9.41e-18   9.41e-18   9.41e-18   9.41e-18   9.41e-18
118.60  8.09e-18   8.09e-18   8.09e-18   8.09e-18   8.09e-18
118.67  7.15e-18   7.15e-18   7.15e-18   7.15e-18   7.15e-18
118.74  6.33e-18   6.33e-18   6.33e-18   6.33e-18   6.33e-18
118.79  5.63e-18   5.63e-18   5.63e-18   5.63e-18   5.63e-18
118.84  4.91e-18   4.91e-18   4.91e-18   4.91e-18   4.91e-18
118.93  4.45e-18   4.45e-18   4.45e-18   4.45e-18   4.45e-18
119.06  4.17e-18   4.17e-18   4.17e-18   4.17e-18   4.17e-18
119.20  3.91e-18   3.91e-18   3.91e-18   3.91e-18   3.91e-18
119.34  3.65e-18   3.65e-18   3.65e-18   3.65e-18   3.65e-18
119.48  3.42e-18   3.42e-18   3.42e-18   3.42e-18   3.42e-18
119.62  3.22e-18   3.22e-18   3.22e-18   3.22e-18   3.22e-18
119.78  3.05e-18   3.05e-18   3.05e-18   3.05e-18   3.05e-18
119.93  2.90e-18   2.90e-18   2.90e-18   2.90e-18   2.90e-18
120.07  2.75e-18   2.75e-18   2.75e-18   2.75e-18   2.75e-18
120.21  2.56e-18   2.56e-18   2.56e-18   2.56e-18   2.56e-18
120.38  2.45e-18   2.45e-18   2.45e-18   2.45e-18   2.45e-18
120.55  2.42e-18   2.42e-18   2.42e-18   2.42e-18   2.42e-18
120.70  2.54e-18   2.54e-18   2.54e-18   2.54e-18   2.54e-18
120.84  2.70e-18   2.70e-18   2.70e-18   2.70e-18   2.70e-18
121.00  2.69e-18   2.69e-18   2.69e-18   2.69e-18   2.69e-18
121.15  2.53e-18   2.53e-18   2.53e-18   2.53e-18   2.53e-18
121.32  2.48e-18   2.48e-18   2.48e-18   2.48e-18   2.48e-18
121.48  2.42e-18   2.42e-18   2.42e-18   2.42e-18   2.42e-18
121.64  2.39e-18   2.39e-18   2.39e-18   2.39e-18   2.39e-18
121.79  2.49e-18   2.49e-18   2.49e-18   2.49e-18   2.49e-18
121.92  2.67e-18   2.67e-18   2.67e-18   2.67e-18   2.67e-18
122.05  2.88e-18   2.88e-18   2.88e-18   2.88e-18   2.88e-18
122.18  3.05e-18   3.05e-18   3.05e-18   3.05e-18   3.05e-18
122.25  6.88e-18   6.88e-18   6.88e-18   6.88e-18   6.88e-18
122.61  8.09e-18   8.09e-18   8.09e-18   8.09e-18   8.09e-18
122.84  9.03e-18   9.03e-18   9.03e-18   9.03e-18   9.03e-18
123.09  1.01e-17   1.01e-17   1.01e-17   1.01e-17   1.01e-17
123.34  1.11e-17   1.11e-17   1.11e-17   1.11e-17   1.11e-17
123.55  1.23e-17   1.23e-17   1.23e-17   1.23e-17   1.23e-17
123.78  1.33e-17   1.33e-17   1.33e-17   1.33e-17   1.33e-17
123.98  1.48e-17   1.48e-17   1.48e-17   1.48e-17   1.48e-17
124.19  1.63e-17   1.63e-17   1.63e-17   1.63e-17   1.63e-17
124.25  1.67e-17   1.67e-17   1.67e-17   1.67e-17   1.67e-17
124.44  1.84e-17   1.84e-17   1.84e-17   1.84e-17   1.84e-17
124.63  2.01e-17   2.01e-17   2.01e-17   2.01e-17   2.01e-17
124.78  2.18e-17   2.18e-17   2.18e-17   2.18e-17   2.18e-17
124.94  2.37e-17   2.37e-17   2.37e-17   2.37e-17   2.37e-17
125.10  2.56e-17   2.56e-17   2.56e-17   2.56e-17   2.56e-17
