#
#
#
#---------------------------------------------------------------
# DATAFILE:   NO2_Vandaele(1998)_220K_238-667nm.txt
# NAME:   nitrogen dioxide
# FORMULA:    NO2
# AUTHOR(YEAR):   Vandaele(1998)
# T:  220K, 294K
# λ:  238-667nm
# BIBLIOGRAPHY:   A.C. Vandaele, C. Hermans, P.C. Simon, M. Carleer, R. Colins, S. Fally, 
# M.F. Mérienne, A. Jenouvrier, and B. Coquart, 
# "Measurements of the NO2 absorption cross-sections from 42000 cm-1 to 10000 cm-1 (238-1000 nm) at 220 K and 294 K", 
# J. Quant. Spectrosc. Radiat. Transfer 59, 171-184 (1998); DOI: 10.1016/S0022-4073(97)00168-4
# COMMENTS:   Absorption measurements using a Fourier transform spectrometer at a spectral resolution of 2 cm-1 
# (0.01 nm at 240 nm to 0.2 nm at 1000 nm)
# Data file from the webpage of the Belgian Institute for Space Aeronomy
# http://spectrolab.aeronomie.be/index.htm
#
# data is downloaded from Spectral Atlas
#  Keller-Rudek, H., Moortgat, G. K., Sander, R., and Sörensen, R.: 
#  The MPI-Mainz UV/VIS spectral atlas of gaseous molecules of atmospheric interest, 
#  Earth Syst. Sci. Data, 5, 365–373, (2013), DOI: 10.5194/essd-5-365-2013
# 
# Non diluted NO2
# temperature = 220 K, 294 K
# pressures: from 0.007 to 2 torr
# path lengths: 20 and 60 m
# 
#  nm         220 K          294 K
 270.18553  0.269278E-19  0.291202E-19
 270.19257  0.271934E-19  0.291993E-19
 270.19961  0.274597E-19  0.290481E-19
 270.20666  0.277207E-19  0.291738E-19
 270.21370  0.279705E-19  0.294848E-19
 270.22074  0.282035E-19  0.292272E-19
 270.22778  0.284143E-19  0.290704E-19
 270.23483  0.285983E-19  0.294061E-19
 270.24187  0.287514E-19  0.296843E-19
 270.24892  0.288703E-19  0.294434E-19
 270.25596  0.289527E-19  0.294824E-19
 270.26301  0.289971E-19  0.292580E-19
 270.27005  0.290031E-19  0.291555E-19
 270.27710  0.289713E-19  0.296378E-19
 270.28414  0.289032E-19  0.292327E-19
 270.29119  0.288012E-19  0.293901E-19
 270.29824  0.286686E-19  0.296429E-19
 270.30529  0.285094E-19  0.293271E-19
 270.31233  0.283283E-19  0.296165E-19
 270.31938  0.281303E-19  0.294982E-19
 270.32643  0.279209E-19  0.292385E-19
 270.33348  0.277056E-19  0.292993E-19
 270.34053  0.274899E-19  0.292238E-19
 270.34758  0.272791E-19  0.290681E-19
 270.35463  0.270780E-19  0.294088E-19
 270.36168  0.268913E-19  0.295127E-19
 270.36873  0.267226E-19  0.292412E-19
 270.37578  0.265750E-19  0.295588E-19
 270.38283  0.264508E-19  0.293543E-19
 270.38988  0.263512E-19  0.289691E-19
 270.39694  0.262768E-19  0.291675E-19
 270.40399  0.262271E-19  0.295941E-19
 270.41104  0.262007E-19  0.294236E-19
 270.41810  0.261956E-19  0.290663E-19
 270.42515  0.262089E-19  0.294903E-19
 270.43220  0.262372E-19  0.295134E-19
 270.43926  0.262767E-19  0.294944E-19
 270.44631  0.263231E-19  0.294393E-19
 270.45337  0.263721E-19  0.292670E-19
 270.46042  0.264193E-19  0.292398E-19
 270.46748  0.264607E-19  0.293362E-19
 270.47454  0.264925E-19  0.294544E-19
 270.48159  0.265112E-19  0.290784E-19
 270.48865  0.265141E-19  0.294924E-19
 270.49571  0.264993E-19  0.294441E-19
 270.50276  0.264654E-19  0.291558E-19
 270.50982  0.264122E-19  0.295878E-19
 270.51688  0.263399E-19  0.294623E-19
 270.52394  0.262501E-19  0.295272E-19
 270.53100  0.261447E-19  0.292183E-19
 270.53806  0.260267E-19  0.294206E-19
 270.54512  0.258996E-19  0.296407E-19
 270.55218  0.257674E-19  0.289761E-19
 270.55924  0.256347E-19  0.290912E-19
 270.56630  0.255060E-19  0.291114E-19
 270.57336  0.253862E-19  0.290287E-19
 270.58042  0.252798E-19  0.291226E-19
 270.58749  0.251912E-19  0.293010E-19
 270.59455  0.251244E-19  0.292726E-19
 270.60161  0.250827E-19  0.291564E-19
 270.60868  0.250688E-19  0.292038E-19
 270.61574  0.250845E-19  0.289031E-19
 270.62280  0.251307E-19  0.291197E-19
 270.62987  0.252075E-19  0.292712E-19
 270.63693  0.253138E-19  0.294549E-19
 270.64400  0.254479E-19  0.295903E-19
 270.65106  0.256068E-19  0.292338E-19
 270.65813  0.257869E-19  0.293823E-19
 270.66519  0.259839E-19  0.291255E-19
 270.67226  0.261929E-19  0.290226E-19
 270.67933  0.264085E-19  0.293557E-19
 270.68640  0.266250E-19  0.291653E-19
 270.69346  0.268368E-19  0.292391E-19
 270.70053  0.270383E-19  0.294974E-19
 270.70760  0.272239E-19  0.292048E-19
 270.71467  0.273889E-19  0.290256E-19
 270.72174  0.275290E-19  0.292628E-19
 270.72881  0.276404E-19  0.291341E-19
 270.73588  0.277205E-19  0.291905E-19
 270.74295  0.277675E-19  0.293372E-19
 270.75002  0.277804E-19  0.292380E-19
 270.75709  0.277596E-19  0.289752E-19
 270.76416  0.277060E-19  0.288011E-19
 270.77123  0.276220E-19  0.292064E-19
 270.77830  0.275103E-19  0.289819E-19
 270.78538  0.273749E-19  0.289591E-19
 270.79245  0.272201E-19  0.293097E-19
 270.79952  0.270507E-19  0.288822E-19
 270.80660  0.268721E-19  0.291556E-19
 270.81367  0.266897E-19  0.295454E-19
 270.82075  0.265087E-19  0.293523E-19
 270.82782  0.263345E-19  0.292571E-19
 270.83490  0.261718E-19  0.290866E-19
 270.84197  0.260249E-19  0.291429E-19
 270.84905  0.258977E-19  0.291793E-19
 270.85612  0.257931E-19  0.291508E-19
 270.86320  0.257132E-19  0.291904E-19
 270.87028  0.256593E-19  0.291456E-19
 270.87735  0.256319E-19  0.292951E-19
 270.88443  0.256305E-19  0.292658E-19
 270.89151  0.256537E-19  0.290737E-19
 270.89859  0.256996E-19  0.291998E-19
 270.90567  0.257655E-19  0.292607E-19
 270.91275  0.258480E-19  0.292920E-19
 270.91983  0.259436E-19  0.292433E-19
 270.92691  0.260484E-19  0.291177E-19
 270.93399  0.261583E-19  0.294279E-19
 270.94107  0.262694E-19  0.292916E-19
 270.94815  0.263780E-19  0.289713E-19
 270.95523  0.264806E-19  0.294406E-19
 270.96231  0.265743E-19  0.295315E-19
 270.96939  0.266568E-19  0.292987E-19
 270.97647  0.267262E-19  0.293095E-19
 270.98356  0.267815E-19  0.293800E-19
 270.99064  0.268225E-19  0.294559E-19
 270.99772  0.268495E-19  0.292740E-19
 271.00481  0.268637E-19  0.294239E-19
 271.01189  0.268666E-19  0.293285E-19
 271.01898  0.268606E-19  0.291901E-19
 271.02606  0.268484E-19  0.296865E-19
 271.03315  0.268329E-19  0.296455E-19
 271.04023  0.268172E-19  0.297071E-19
 271.04732  0.268047E-19  0.295511E-19
 271.05441  0.267984E-19  0.292194E-19
 271.06149  0.268010E-19  0.295569E-19
 271.06858  0.268152E-19  0.294651E-19
 271.07567  0.268428E-19  0.295556E-19
 271.08276  0.268853E-19  0.295426E-19
 271.08985  0.269434E-19  0.291431E-19
 271.09693  0.270170E-19  0.292106E-19
 271.10402  0.271055E-19  0.294296E-19
 271.11111  0.272075E-19  0.293665E-19
 271.11820  0.273207E-19  0.291993E-19
 271.12529  0.274425E-19  0.296696E-19
 271.13238  0.275696E-19  0.296456E-19
 271.13947  0.276982E-19  0.293791E-19
 271.14657  0.278243E-19  0.296793E-19
 271.15366  0.279437E-19  0.294384E-19
 271.16075  0.280522E-19  0.293547E-19
 271.16784  0.281457E-19  0.293844E-19
 271.17494  0.282203E-19  0.292934E-19
 271.18203  0.282728E-19  0.292828E-19
 271.18912  0.283002E-19  0.291823E-19
 271.19622  0.283003E-19  0.293337E-19
 271.20331  0.282717E-19  0.294243E-19
 271.21041  0.282137E-19  0.294743E-19
 271.21750  0.281266E-19  0.294732E-19
 271.22460  0.280114E-19  0.294739E-19
 271.23169  0.278701E-19  0.295218E-19
 271.23879  0.277053E-19  0.294704E-19
 271.24588  0.275204E-19  0.291988E-19
 271.25298  0.273194E-19  0.290126E-19
 271.26008  0.271070E-19  0.293688E-19
 271.26718  0.268881E-19  0.293736E-19
 271.27427  0.266677E-19  0.292367E-19
 271.28137  0.264512E-19  0.293379E-19
 271.28847  0.262437E-19  0.294497E-19
 271.29557  0.260501E-19  0.295706E-19
 271.30267  0.258749E-19  0.293571E-19
 271.30977  0.257222E-19  0.294138E-19
 271.31687  0.255954E-19  0.291681E-19
 271.32397  0.254972E-19  0.289837E-19
 271.33107  0.254295E-19  0.291768E-19
 271.33817  0.253933E-19  0.288517E-19
 271.34528  0.253889E-19  0.291870E-19
 271.35238  0.254155E-19  0.292757E-19
 271.35948  0.254717E-19  0.290234E-19
 271.36658  0.255552E-19  0.291896E-19
 271.37369  0.256630E-19  0.290666E-19
 271.38079  0.257916E-19  0.291967E-19
 271.38789  0.259367E-19  0.290207E-19
 271.39500  0.260939E-19  0.290725E-19
 271.40210  0.262586E-19  0.290852E-19
 271.40921  0.264260E-19  0.286482E-19
 271.41631  0.265911E-19  0.290040E-19
 271.42342  0.267496E-19  0.289825E-19
 271.43053  0.268969E-19  0.291411E-19
 271.43763  0.270291E-19  0.292138E-19
 271.44474  0.271429E-19  0.288221E-19
 271.45185  0.272354E-19  0.291426E-19
 271.45895  0.273043E-19  0.288472E-19
 271.46606  0.273480E-19  0.287985E-19
 271.47317  0.273659E-19  0.290321E-19
 271.48028  0.273576E-19  0.287728E-19
 271.48739  0.273239E-19  0.292372E-19
 271.49450  0.272657E-19  0.294305E-19
 271.50161  0.271851E-19  0.292353E-19
 271.50872  0.270842E-19  0.292423E-19
 271.51583  0.269658E-19  0.289600E-19
 271.52294  0.268330E-19  0.289511E-19
 271.53005  0.266893E-19  0.291257E-19
 271.53716  0.265382E-19  0.289142E-19
 271.54428  0.263834E-19  0.289966E-19
 271.55139  0.262284E-19  0.290051E-19
 271.55850  0.260768E-19  0.288865E-19
 271.56562  0.259319E-19  0.291673E-19
 271.57273  0.257967E-19  0.289683E-19
 271.57984  0.256739E-19  0.289014E-19
 271.58696  0.255660E-19  0.288527E-19
 271.59407  0.254748E-19  0.288369E-19
 271.60119  0.254018E-19  0.294100E-19
 271.60830  0.253480E-19  0.293650E-19
 271.61542  0.253141E-19  0.292260E-19
 271.62254  0.253000E-19  0.290685E-19
 271.62965  0.253055E-19  0.290117E-19
 271.63677  0.253299E-19  0.292407E-19
 271.64389  0.253721E-19  0.291740E-19
 271.65100  0.254306E-19  0.292136E-19
 271.65812  0.255038E-19  0.290280E-19
 271.66524  0.255899E-19  0.292131E-19
 271.67236  0.256866E-19  0.292931E-19
 271.67948  0.257919E-19  0.290662E-19
 271.68660  0.259034E-19  0.294091E-19
 271.69372  0.260190E-19  0.291029E-19
 271.70084  0.261365E-19  0.290520E-19
 271.70796  0.262538E-19  0.294304E-19
 271.71508  0.263689E-19  0.293886E-19
 271.72220  0.264801E-19  0.294833E-19
 271.72933  0.265857E-19  0.290676E-19
 271.73645  0.266846E-19  0.291622E-19
 271.74357  0.267755E-19  0.296791E-19
 271.75069  0.268578E-19  0.293045E-19
 271.75782  0.269310E-19  0.294423E-19
 271.76494  0.269948E-19  0.299307E-19
 271.77206  0.270494E-19  0.296901E-19
 271.77919  0.270951E-19  0.292675E-19
 271.78631  0.271325E-19  0.293971E-19
 271.79344  0.271626E-19  0.296646E-19
 271.80056  0.271863E-19  0.294521E-19
 271.80769  0.272049E-19  0.294579E-19
 271.81482  0.272199E-19  0.296076E-19
 271.82194  0.272327E-19  0.296652E-19
 271.82907  0.272449E-19  0.296592E-19
 271.83620  0.272580E-19  0.296554E-19
 271.84333  0.272737E-19  0.296815E-19
 271.85045  0.272933E-19  0.293929E-19
 271.85758  0.273183E-19  0.292748E-19
 271.86471  0.273499E-19  0.291938E-19
 271.87184  0.273889E-19  0.294703E-19
 271.87897  0.274363E-19  0.296636E-19
 271.88610  0.274924E-19  0.295739E-19
 271.89323  0.275576E-19  0.296837E-19
 271.90036  0.276317E-19  0.292690E-19
 271.90749  0.277143E-19  0.298798E-19
 271.91463  0.278048E-19  0.302529E-19
 271.92176  0.279023E-19  0.296196E-19
 271.92889  0.280054E-19  0.294580E-19
 271.93602  0.281127E-19  0.292252E-19
 271.94316  0.282226E-19  0.298876E-19
 271.95029  0.283333E-19  0.300826E-19
 271.95742  0.284427E-19  0.298112E-19
 271.96456  0.285489E-19  0.298707E-19
 271.97169  0.286501E-19  0.297229E-19
 271.97883  0.287441E-19  0.303366E-19
 271.98596  0.288293E-19  0.303882E-19
 271.99310  0.289041E-19  0.300338E-19
 272.00023  0.289670E-19  0.298907E-19
 272.00737  0.290170E-19  0.302430E-19
 272.01451  0.290534E-19  0.304502E-19
 272.02165  0.290756E-19  0.298249E-19
 272.02878  0.290837E-19  0.303997E-19
 272.03592  0.290780E-19  0.305122E-19
 272.04306  0.290592E-19  0.298442E-19
 272.05020  0.290284E-19  0.302531E-19
 272.05734  0.289869E-19  0.303885E-19
 272.06448  0.289367E-19  0.302678E-19
 272.07162  0.288795E-19  0.305690E-19
 272.07876  0.288178E-19  0.306254E-19
 272.08590  0.287538E-19  0.305948E-19
 272.09304  0.286900E-19  0.306360E-19
 272.10018  0.286290E-19  0.304809E-19
 272.10732  0.285731E-19  0.306755E-19
 272.11446  0.285249E-19  0.305407E-19
 272.12161  0.284864E-19  0.302527E-19
 272.12875  0.284595E-19  0.307568E-19
 272.13589  0.284461E-19  0.309542E-19
 272.14304  0.284475E-19  0.308130E-19
 272.15018  0.284648E-19  0.309655E-19
 272.15732  0.284985E-19  0.309233E-19
 272.16447  0.285489E-19  0.305025E-19
 272.17161  0.286161E-19  0.307955E-19
 272.17876  0.286995E-19  0.311076E-19
 272.18591  0.287984E-19  0.311334E-19
 272.19305  0.289116E-19  0.316341E-19
 272.20020  0.290378E-19  0.314454E-19
 272.20735  0.291754E-19  0.312054E-19
 272.21449  0.293226E-19  0.313329E-19
 272.22164  0.294776E-19  0.313933E-19
 272.22879  0.296384E-19  0.313376E-19
 272.23594  0.298031E-19  0.312637E-19
 272.24309  0.299696E-19  0.315149E-19
 272.25024  0.301362E-19  0.314682E-19
 272.25738  0.303011E-19  0.315266E-19
 272.26453  0.304627E-19  0.314144E-19
 272.27168  0.306196E-19  0.314192E-19
 272.27884  0.307704E-19  0.318026E-19
 272.28599  0.309142E-19  0.316421E-19
 272.29314  0.310501E-19  0.314632E-19
 272.30029  0.311773E-19  0.315658E-19
 272.30744  0.312952E-19  0.319192E-19
 272.31460  0.314035E-19  0.320071E-19
 272.32175  0.315019E-19  0.318767E-19
 272.32890  0.315902E-19  0.318903E-19
 272.33606  0.316682E-19  0.318158E-19
 272.34321  0.317359E-19  0.317721E-19
 272.35036  0.317932E-19  0.319025E-19
 272.35752  0.318402E-19  0.320866E-19
 272.36467  0.318767E-19  0.319137E-19
 272.37183  0.319028E-19  0.319246E-19
 272.37899  0.319184E-19  0.322062E-19
 272.38614  0.319236E-19  0.323762E-19
 272.39330  0.319183E-19  0.322807E-19
 272.40046  0.319027E-19  0.324673E-19
 272.40761  0.318767E-19  0.326779E-19
 272.41477  0.318408E-19  0.324308E-19
 272.42193  0.317952E-19  0.324277E-19
 272.42909  0.317405E-19  0.320770E-19
 272.43625  0.316772E-19  0.323459E-19
 272.44341  0.316064E-19  0.325053E-19
 272.45057  0.315289E-19  0.321063E-19
 272.45773  0.314462E-19  0.325961E-19
 272.46489  0.313597E-19  0.325494E-19
 272.47205  0.312712E-19  0.325971E-19
 272.47921  0.311824E-19  0.325946E-19
 272.48637  0.310955E-19  0.325633E-19
 272.49353  0.310126E-19  0.327541E-19
 272.50070  0.309358E-19  0.323725E-19
 272.50786  0.308674E-19  0.325684E-19
 272.51502  0.308094E-19  0.326942E-19
 272.52218  0.307641E-19  0.329001E-19
 272.52935  0.307330E-19  0.330405E-19
 272.53651  0.307179E-19  0.329320E-19
 272.54368  0.307199E-19  0.329508E-19
 272.55084  0.307398E-19  0.327781E-19
 272.55801  0.307782E-19  0.328737E-19
 272.56517  0.308349E-19  0.328777E-19
 272.57234  0.309095E-19  0.330546E-19
 272.57951  0.310008E-19  0.329440E-19
 272.58667  0.311074E-19  0.328855E-19
 272.59384  0.312273E-19  0.330997E-19
 272.60101  0.313579E-19  0.330126E-19
 272.60818  0.314965E-19  0.331927E-19
 272.61534  0.316400E-19  0.331228E-19
 272.62251  0.317851E-19  0.332635E-19
 272.62968  0.319281E-19  0.334350E-19
 272.63685  0.320657E-19  0.333321E-19
 272.64402  0.321944E-19  0.332618E-19
 272.65119  0.323110E-19  0.330864E-19
 272.65836  0.324125E-19  0.330514E-19
 272.66553  0.324963E-19  0.333035E-19
 272.67271  0.325603E-19  0.338159E-19
 272.67988  0.326031E-19  0.336969E-19
 272.68705  0.326236E-19  0.335108E-19
 272.69422  0.326218E-19  0.333923E-19
 272.70140  0.325979E-19  0.336647E-19
 272.70857  0.325532E-19  0.340278E-19
 272.71574  0.324894E-19  0.336080E-19
 272.72292  0.324091E-19  0.337284E-19
 272.73009  0.323152E-19  0.336672E-19
 272.73727  0.322113E-19  0.336748E-19
 272.74444  0.321013E-19  0.340262E-19
 272.75162  0.319895E-19  0.341271E-19
 272.75879  0.318802E-19  0.341785E-19
 272.76597  0.317779E-19  0.341289E-19
 272.77315  0.316869E-19  0.342052E-19
 272.78032  0.316114E-19  0.340028E-19
 272.78750  0.315552E-19  0.343571E-19
 272.79468  0.315215E-19  0.343619E-19
 272.80186  0.315132E-19  0.343172E-19
 272.80904  0.315325E-19  0.347835E-19
 272.81621  0.315806E-19  0.344371E-19
 272.82339  0.316582E-19  0.344993E-19
 272.83057  0.317652E-19  0.343673E-19
 272.83775  0.319006E-19  0.345510E-19
 272.84493  0.320628E-19  0.350830E-19
 272.85211  0.322492E-19  0.349565E-19
 272.85930  0.324569E-19  0.350599E-19
 272.86648  0.326821E-19  0.349261E-19
 272.87366  0.329208E-19  0.350639E-19
 272.88084  0.331684E-19  0.352436E-19
 272.88802  0.334204E-19  0.353679E-19
 272.89521  0.336720E-19  0.353040E-19
 272.90239  0.339183E-19  0.351552E-19
 272.90958  0.341550E-19  0.356154E-19
 272.91676  0.343777E-19  0.353818E-19
 272.92394  0.345826E-19  0.351894E-19
 272.93113  0.347664E-19  0.357669E-19
 272.93831  0.349265E-19  0.361453E-19
 272.94550  0.350608E-19  0.358274E-19
 272.95269  0.351680E-19  0.357307E-19
 272.95987  0.352476E-19  0.361909E-19
 272.96706  0.352996E-19  0.359206E-19
 272.97425  0.353251E-19  0.357576E-19
 272.98144  0.353256E-19  0.360445E-19
 272.98862  0.353034E-19  0.361673E-19
 272.99581  0.352611E-19  0.360816E-19
 273.00300  0.352020E-19  0.361715E-19
 273.01019  0.351296E-19  0.366335E-19
 273.01738  0.350477E-19  0.365624E-19
 273.02457  0.349604E-19  0.363357E-19
 273.03176  0.348714E-19  0.365556E-19
 273.03895  0.347847E-19  0.367366E-19
 273.04614  0.347038E-19  0.365525E-19
 273.05333  0.346321E-19  0.363955E-19
 273.06052  0.345725E-19  0.365384E-19
 273.06772  0.345274E-19  0.365771E-19
 273.07491  0.344987E-19  0.366676E-19
 273.08210  0.344879E-19  0.369566E-19
 273.08930  0.344955E-19  0.368204E-19
 273.09649  0.345219E-19  0.366997E-19
 273.10368  0.345666E-19  0.370353E-19
 273.11088  0.346285E-19  0.369136E-19
 273.11807  0.347062E-19  0.370886E-19
 273.12527  0.347978E-19  0.373242E-19
 273.13246  0.349009E-19  0.368773E-19
 273.13966  0.350128E-19  0.370521E-19
 273.14686  0.351309E-19  0.373391E-19
 273.15405  0.352519E-19  0.372725E-19
 273.16125  0.353731E-19  0.371953E-19
 273.16845  0.354913E-19  0.370752E-19
 273.17565  0.356037E-19  0.368621E-19
 273.18284  0.357078E-19  0.366899E-19
 273.19004  0.358012E-19  0.372981E-19
 273.19724  0.358820E-19  0.373758E-19
 273.20444  0.359485E-19  0.369762E-19
 273.21164  0.359996E-19  0.371702E-19
 273.21884  0.360346E-19  0.371996E-19
 273.22604  0.360534E-19  0.374314E-19
 273.23324  0.360561E-19  0.376052E-19
 273.24044  0.360435E-19  0.375212E-19
 273.24765  0.360167E-19  0.377155E-19
 273.25485  0.359773E-19  0.376586E-19
 273.26205  0.359271E-19  0.374863E-19
 273.26925  0.358684E-19  0.376400E-19
 273.27646  0.358034E-19  0.377838E-19
 273.28366  0.357347E-19  0.376533E-19
 273.29086  0.356651E-19  0.375010E-19
 273.29807  0.355970E-19  0.374203E-19
 273.30527  0.355332E-19  0.376988E-19
 273.31248  0.354761E-19  0.379042E-19
 273.31968  0.354280E-19  0.376965E-19
 273.32689  0.353909E-19  0.379560E-19
 273.33410  0.353666E-19  0.377909E-19
 273.34130  0.353564E-19  0.376224E-19
 273.34851  0.353615E-19  0.379660E-19
 273.35572  0.353822E-19  0.374668E-19
 273.36293  0.354189E-19  0.374034E-19
 273.37013  0.354713E-19  0.377198E-19
 273.37734  0.355388E-19  0.377886E-19
 273.38455  0.356201E-19  0.380225E-19
 273.39176  0.357139E-19  0.378500E-19
 273.39897  0.358182E-19  0.377842E-19
 273.40618  0.359310E-19  0.377560E-19
 273.41339  0.360499E-19  0.375938E-19
 273.42060  0.361722E-19  0.375841E-19
 273.42781  0.362951E-19  0.377595E-19
 273.43502  0.364159E-19  0.376747E-19
 273.44224  0.365317E-19  0.373124E-19
 273.44945  0.366397E-19  0.374493E-19
 273.45666  0.367372E-19  0.376047E-19
 273.46387  0.368218E-19  0.375265E-19
 273.47109  0.368912E-19  0.375834E-19
 273.47830  0.369436E-19  0.375626E-19
 273.48552  0.369772E-19  0.372980E-19
 273.49273  0.369911E-19  0.375874E-19
 273.49995  0.369843E-19  0.377942E-19
 273.50716  0.369567E-19  0.375364E-19
 273.51438  0.369083E-19  0.378730E-19
 273.52159  0.368397E-19  0.374367E-19
 273.52881  0.367520E-19  0.373642E-19
 273.53603  0.366467E-19  0.379200E-19
 273.54324  0.365256E-19  0.375315E-19
 273.55046  0.363909E-19  0.374890E-19
 273.55768  0.362451E-19  0.375957E-19
 273.56490  0.360909E-19  0.376428E-19
 273.57212  0.359313E-19  0.374911E-19
 273.57934  0.357691E-19  0.376455E-19
 273.58656  0.356075E-19  0.378857E-19
 273.59378  0.354493E-19  0.375819E-19
 273.60100  0.352975E-19  0.375588E-19
 273.60822  0.351548E-19  0.373202E-19
 273.61544  0.350234E-19  0.375086E-19
 273.62266  0.349057E-19  0.377952E-19
 273.62988  0.348031E-19  0.376132E-19
 273.63710  0.347173E-19  0.371727E-19
 273.64433  0.346489E-19  0.372305E-19
 273.65155  0.345986E-19  0.376170E-19
 273.65877  0.345663E-19  0.370034E-19
 273.66600  0.345515E-19  0.373416E-19
 273.67322  0.345535E-19  0.372907E-19
 273.68045  0.345709E-19  0.367511E-19
 273.68767  0.346022E-19  0.373665E-19
 273.69490  0.346455E-19  0.372472E-19
 273.70212  0.346984E-19  0.371125E-19
 273.70935  0.347588E-19  0.370840E-19
 273.71657  0.348242E-19  0.371087E-19
 273.72380  0.348920E-19  0.372710E-19
 273.73103  0.349599E-19  0.372615E-19
 273.73826  0.350255E-19  0.370347E-19
 273.74548  0.350866E-19  0.367471E-19
 273.75271  0.351414E-19  0.372874E-19
 273.75994  0.351883E-19  0.374350E-19
 273.76717  0.352261E-19  0.373221E-19
 273.77440  0.352538E-19  0.373618E-19
 273.78163  0.352712E-19  0.374067E-19
 273.78886  0.352781E-19  0.373462E-19
 273.79609  0.352752E-19  0.371145E-19
 273.80332  0.352631E-19  0.373111E-19
 273.81055  0.352433E-19  0.371468E-19
 273.81778  0.352175E-19  0.373871E-19
 273.82502  0.351874E-19  0.374793E-19
 273.83225  0.351555E-19  0.370362E-19
 273.83948  0.351242E-19  0.372770E-19
 273.84672  0.350960E-19  0.374222E-19
 273.85395  0.350735E-19  0.377033E-19
 273.86118  0.350595E-19  0.377353E-19
 273.86842  0.350563E-19  0.373927E-19
 273.87565  0.350664E-19  0.373931E-19
 273.88289  0.350918E-19  0.374444E-19
 273.89012  0.351343E-19  0.376053E-19
 273.89736  0.351952E-19  0.377482E-19
 273.90460  0.352756E-19  0.376930E-19
 273.91183  0.353760E-19  0.378197E-19
 273.91907  0.354962E-19  0.377951E-19
 273.92631  0.356359E-19  0.374317E-19
 273.93355  0.357938E-19  0.375990E-19
 273.94078  0.359686E-19  0.377749E-19
 273.94802  0.361581E-19  0.378829E-19
 273.95526  0.363599E-19  0.379513E-19
 273.96250  0.365709E-19  0.377797E-19
 273.96974  0.367881E-19  0.380519E-19
 273.97698  0.370077E-19  0.381070E-19
 273.98422  0.372261E-19  0.380935E-19
 273.99146  0.374393E-19  0.381225E-19
 273.99870  0.376435E-19  0.380945E-19
 274.00595  0.378348E-19  0.382760E-19
 274.01319  0.380095E-19  0.382263E-19
 274.02043  0.381641E-19  0.382148E-19
 274.02767  0.382954E-19  0.383476E-19
 274.03492  0.384007E-19  0.385310E-19
 274.04216  0.384778E-19  0.386169E-19
 274.04940  0.385248E-19  0.387267E-19
 274.05665  0.385408E-19  0.384119E-19
 274.06389  0.385250E-19  0.384510E-19
 274.07114  0.384779E-19  0.391358E-19
 274.07838  0.384001E-19  0.388097E-19
 274.08563  0.382933E-19  0.386426E-19
 274.09288  0.381596E-19  0.386134E-19
 274.10012  0.380019E-19  0.385518E-19
 274.10737  0.378235E-19  0.390203E-19
 274.11462  0.376285E-19  0.389963E-19
 274.12187  0.374210E-19  0.391284E-19
 274.12911  0.372060E-19  0.391399E-19
 274.13636  0.369882E-19  0.388220E-19
 274.14361  0.367729E-19  0.388867E-19
 274.15086  0.365652E-19  0.391214E-19
 274.15811  0.363701E-19  0.391787E-19
 274.16536  0.361924E-19  0.389331E-19
 274.17261  0.360367E-19  0.392300E-19
 274.17986  0.359070E-19  0.394591E-19
 274.18711  0.358070E-19  0.391980E-19
 274.19437  0.357396E-19  0.395571E-19
 274.20162  0.357069E-19  0.394602E-19
 274.20887  0.357105E-19  0.389948E-19
 274.21612  0.357509E-19  0.395072E-19
 274.22338  0.358279E-19  0.395514E-19
 274.23063  0.359405E-19  0.394156E-19
 274.23788  0.360868E-19  0.394818E-19
 274.24514  0.362640E-19  0.394699E-19
 274.25239  0.364687E-19  0.397551E-19
 274.25965  0.366968E-19  0.393586E-19
 274.26690  0.369436E-19  0.394116E-19
 274.27416  0.372038E-19  0.397206E-19
 274.28142  0.374721E-19  0.394776E-19
 274.28867  0.377426E-19  0.397273E-19
 274.29593  0.380096E-19  0.399292E-19
 274.30319  0.382674E-19  0.398590E-19
 274.31044  0.385105E-19  0.395626E-19
 274.31770  0.387339E-19  0.395538E-19
 274.32496  0.389329E-19  0.396965E-19
 274.33222  0.391035E-19  0.397428E-19
 274.33948  0.392427E-19  0.400588E-19
 274.34674  0.393478E-19  0.401569E-19
 274.35400  0.394174E-19  0.400915E-19
 274.36126  0.394509E-19  0.400329E-19
 274.36852  0.394486E-19  0.398800E-19
 274.37578  0.394117E-19  0.395296E-19
 274.38304  0.393423E-19  0.397471E-19
 274.39031  0.392435E-19  0.398544E-19
 274.39757  0.391189E-19  0.398402E-19
 274.40483  0.389730E-19  0.402472E-19
 274.41210  0.388105E-19  0.398240E-19
 274.41936  0.386367E-19  0.399333E-19
 274.42662  0.384571E-19  0.399601E-19
 274.43389  0.382773E-19  0.396007E-19
 274.44115  0.381026E-19  0.399695E-19
 274.44842  0.379384E-19  0.399620E-19
 274.45568  0.377894E-19  0.399695E-19
 274.46295  0.376599E-19  0.399207E-19
 274.47021  0.375535E-19  0.400311E-19
 274.47748  0.374733E-19  0.401186E-19
 274.48475  0.374213E-19  0.400364E-19
 274.49202  0.373987E-19  0.402230E-19
 274.49928  0.374058E-19  0.402085E-19
