#
#
#
#---------------------------------------------------------------
# DATAFILE:   NO2_Vandaele(1998)_220K_238-667nm.txt
# NAME:   nitrogen dioxide
# FORMULA:    NO2
# AUTHOR(YEAR):   Vandaele(1998)
# T:  220K, 294K
# λ:  238-667nm
# BIBLIOGRAPHY:   A.C. Vandaele, C. Hermans, P.C. Simon, M. Carleer, R. Colins, S. Fally, 
# M.F. Mérienne, A. Jenouvrier, and B. Coquart, 
# "Measurements of the NO2 absorption cross-sections from 42000 cm-1 to 10000 cm-1 (238-1000 nm) at 220 K and 294 K", 
# J. Quant. Spectrosc. Radiat. Transfer 59, 171-184 (1998); DOI: 10.1016/S0022-4073(97)00168-4
# COMMENTS:   Absorption measurements using a Fourier transform spectrometer at a spectral resolution of 2 cm-1 
# (0.01 nm at 240 nm to 0.2 nm at 1000 nm)
# Data file from the webpage of the Belgian Institute for Space Aeronomy
# http://spectrolab.aeronomie.be/index.htm
#
# data is downloaded from Spectral Atlas
#  Keller-Rudek, H., Moortgat, G. K., Sander, R., and Sörensen, R.: 
#  The MPI-Mainz UV/VIS spectral atlas of gaseous molecules of atmospheric interest, 
#  Earth Syst. Sci. Data, 5, 365–373, (2013), DOI: 10.5194/essd-5-365-2013
# 
# Non diluted NO2
# temperature = 220 K, 294 K
# pressures: from 0.007 to 2 torr
# path lengths: 20 and 60 m
# 
#  nm         220 K          294 K
 195.50     2.15E-19      2.15E-19
 195.63     2.23E-19      2.23E-19
 195.75     2.19E-19      2.19E-19
 195.88     2.24E-19      2.24E-19
 196.00     2.36E-19      2.36E-19
 196.13     2.35E-19      2.35E-19
 196.25     2.40E-19      2.40E-19
 196.38     2.29E-19      2.29E-19
 196.50     2.56E-19      2.56E-19
 196.63     2.57E-19      2.57E-19
 196.75     2.41E-19      2.41E-19
 196.88     2.49E-19      2.49E-19
 197.00     2.40E-19      2.40E-19
 197.13     2.52E-19      2.52E-19
 197.25     2.46E-19      2.46E-19
 197.38     2.40E-19      2.40E-19
 197.50     2.46E-19      2.46E-19
 197.63     2.61E-19      2.61E-19
 197.75     2.49E-19      2.49E-19
 197.88     2.47E-19      2.47E-19
 198.00     2.46E-19      2.46E-19
 198.13     2.67E-19      2.67E-19
 198.25     2.52E-19      2.52E-19
 198.38     2.49E-19      2.49E-19
 198.50     2.56E-19      2.56E-19
 198.63     2.46E-19      2.46E-19
 198.75     2.51E-19      2.51E-19
 198.88     2.35E-19      2.35E-19
 199.00     2.36E-19      2.36E-19
 199.13     2.41E-19      2.41E-19
 199.25     2.45E-19      2.45E-19
 199.38     2.27E-19      2.27E-19
 199.50     2.49E-19      2.49E-19
 199.63     2.28E-19      2.28E-19
 199.75     2.57E-19      2.57E-19
 199.88     2.50E-19      2.50E-19
 200.00     2.50E-19      2.50E-19
 200.13     2.71E-19      2.71E-19
 200.25     2.70E-19      2.70E-19
 200.38     2.62E-19      2.62E-19
 200.50     2.68E-19      2.68E-19
 200.63     2.85E-19      2.85E-19
 200.75     2.96E-19      2.96E-19
 200.88     2.89E-19      2.89E-19
 201.00     2.88E-19      2.88E-19
 201.13     2.99E-19      2.99E-19
 201.25     2.91E-19      2.91E-19
 201.38     3.01E-19      3.01E-19
 201.50     2.73E-19      2.73E-19
 201.63     2.82E-19      2.82E-19
 201.75     2.90E-19      2.90E-19
 201.88     2.87E-19      2.87E-19
 202.00     2.87E-19      2.87E-19
 202.13     2.58E-19      2.58E-19
 202.25     2.67E-19      2.67E-19
 202.38     2.77E-19      2.77E-19
 202.50     2.77E-19      2.77E-19
 202.63     2.75E-19      2.75E-19
 202.75     2.79E-19      2.79E-19
 202.88     2.91E-19      2.91E-19
 203.00     2.82E-19      2.82E-19
 203.13     2.79E-19      2.79E-19
 203.25     2.91E-19      2.91E-19
 203.38     2.91E-19      2.91E-19
 203.50     3.13E-19      3.13E-19
 203.63     3.20E-19      3.20E-19
 203.75     3.07E-19      3.07E-19
 203.88     3.10E-19      3.10E-19
 204.00     3.43E-19      3.43E-19
 204.13     3.44E-19      3.44E-19
 204.25     3.51E-19      3.51E-19
 204.38     3.45E-19      3.45E-19
 204.50     3.54E-19      3.54E-19
 204.63     3.60E-19      3.60E-19
 204.75     3.63E-19      3.63E-19
 204.88     3.60E-19      3.60E-19
 205.00     3.75E-19      3.75E-19
 205.13     3.64E-19      3.64E-19
 205.25     3.77E-19      3.77E-19
 205.38     3.70E-19      3.70E-19
 205.50     3.47E-19      3.47E-19
 205.63     3.50E-19      3.50E-19
 205.75     3.40E-19      3.40E-19
 205.88     3.33E-19      3.33E-19
 206.00     3.34E-19      3.34E-19
 206.13     3.40E-19      3.40E-19
 206.25     3.45E-19      3.45E-19
 206.38     3.40E-19      3.40E-19
 206.50     3.34E-19      3.34E-19
 206.63     3.39E-19      3.39E-19
 206.75     3.34E-19      3.34E-19
 206.88     3.54E-19      3.54E-19
 207.00     3.43E-19      3.43E-19
 207.13     3.51E-19      3.51E-19
 207.25     3.62E-19      3.62E-19
 207.38     3.65E-19      3.65E-19
 207.50     3.80E-19      3.80E-19
 207.63     3.89E-19      3.89E-19
 207.75     3.88E-19      3.88E-19
 207.88     4.09E-19      4.09E-19
 208.00     4.22E-19      4.22E-19
 208.13     4.54E-19      4.54E-19
 208.25     4.40E-19      4.40E-19
 208.38     4.50E-19      4.50E-19
 208.50     4.51E-19      4.51E-19
 208.63     4.42E-19      4.42E-19
 208.75     4.33E-19      4.33E-19
 208.88     4.30E-19      4.30E-19
 209.00     4.27E-19      4.27E-19
 209.13     4.27E-19      4.27E-19
 209.25     4.25E-19      4.25E-19
 209.38     4.15E-19      4.15E-19
