#  
#  JPL Publication 15-10
#     J. B. Burkholder, S. P. Sander, J. Abbatt, J. R. Barker, R. E. Huie, C. E. Kolb, M. J. Kurylo, 
#     V. L. Orkin, D. M. Wilmouth, and P. H. Wine 
#     "Chemical Kinetics and Photochemical Data for Use in Atmospheric Studies, 
#     Evaluation No. 18," JPL Publication 15-10, Jet Propulsion Laboratory, Pasadena, 2015 
#     http://jpldataeval.jpl.nasa.gov.
#  
#  nm 
152 0.72
248 0.72
266 0.38
287 0.21
289 0.15
290 0.00
