# 0          References for Cross Section of NO        Total   
# Cross section:                                                                  
# Lambda = 1.-180. A                                                              
#    Cross section synthesized from the atomic cross section of N and O           
# Lambda = 180.-580. A                                                            
#    Lee, L. C., Carlson, R. W., Judge, D. L., Ogawa, M. (1973)                   
#    J. Quant. Spectr. Rad. Trans. 13, 1023                                       
# Lambda = 580.-1350. A                                                           
#    Watanabe, K., Matsunaga, F. M., Sakai, H. (1967)                             
#    Appl. Opt. 6, 391                                                            
# Lambda = 1350.-1910. A                                                          
#    Marmo, F. F. (1953)                                                          
#    J. Opt. Soc. Am. 43, 1186                                                    
#                                                                                 
# 0          References for Cross Section of NO        NO+     
# Branching ratios:                                                               
# Lambda = 580.-1350. A                                                           
#    Watanabe, K., Matsunaga, F. M., Sakai, H. (1967)                             
#    Appl. Opt. 6, 391                                                            
#    (branching for all ionization)                                               
# Lambda = 0.-620. A                                                              
#    Kronebusch, P. L., Berkowitz, J. (1976)                                      
#    Int. J. Mass Spectr. Ion Phys. 22, 283                                       
#    (branching within total ionization branch)                                   
# Threshold:                                                                      
# Lambda = 1340. A                                                                
#    Watanabe, K., Matsunaga, F. M., Sakai, H. (1967)                             
#    Appl. Opt. 6, 391                                                            
#                                                                                 
# 0          References for Cross Section of NO        O+N     
# Branching ratio and threshold:                                                  
# Lambda = 304.-616.2 A                                                           
#    Kronebusch, P. L., Berkowitz, J. (1976)                                      
#    Int. J. Mass Spectr. Ion Phys. 22, 283                                       
#                                                                                 
# 0          References for Cross Section of NO        N+O     
# Branching ratio and threshold:                                                  
# Lambda = 304.-589.3 A                                                           
#    Kronebusch, P. L., Berkowitz, J. (1976)                                      
#    Int. J. Mass Spectr. Ion Phys. 22, 283                                       
#                                                                                 
# 0 Branching ratio for NO       Total        4 branches
#  Lambda  Total   
  77.27 5.68E-18
  77.30 6.96E-18
  77.33 5.41E-18
  77.36 4.58E-18
  77.40 3.09E-18
  77.46 3.19E-18
  77.52 8.57E-18
  77.57 7.79E-18
  77.60 9.05E-18
  77.66 1.01E-17
  77.69 8.64E-18
  77.73 1.00E-17
  77.96 2.58E-18
  78.02 1.98E-18
  78.07 2.32E-18
  78.12 3.41E-18
  78.15 3.01E-18
  78.19 3.86E-18
  78.24 2.92E-18
  78.36 5.62E-17
  78.43 1.30E-17
  78.51 1.31E-17
  78.58 9.92E-18
  78.62 8.26E-18
  78.67 9.19E-18
  78.71 6.85E-18
  78.74 8.17E-18
  78.80 4.54E-18
  78.86 2.68E-18
  78.94 5.74E-18
  79.01 7.52E-18
  79.21 1.69E-17
  79.39 5.73E-18
  79.44 5.44E-18
  79.55 7.88E-18
  79.65 7.88E-18
  79.69 9.26E-18
  79.74 7.87E-18
  79.77 8.77E-18
  79.80 8.93E-18
  79.84 1.05E-17
  79.93 1.16E-17
  79.97 2.09E-17
  80.00 1.64E-17
  80.03 1.73E-17
  80.14 9.77E-18
  80.21 1.25E-17
  80.27 9.71E-18
  80.37 7.24E-18
  80.41 6.33E-18
  80.44 7.26E-18
  80.48 6.87E-18
  80.51 6.48E-18
  80.54 7.60E-18
  80.60 4.99E-18
  80.65 5.66E-18
  80.70 6.33E-18
  80.73 5.70E-18
  80.78 8.06E-18
  80.83 7.53E-18
  80.90 2.05E-17
  80.94 4.86E-17
  80.97 3.28E-17
  81.06 5.30E-17
  81.22 8.92E-18
  81.27 1.45E-17
  81.32 8.61E-18
  81.35 8.26E-18
  81.45 2.52E-18
  81.50 1.59E-18
  81.55 2.38E-18
  81.58 2.64E-18
  81.62 3.73E-18
  81.65 4.06E-18
  81.68 4.37E-18
  81.73 4.83E-18
  81.76 4.48E-18
  81.79 4.39E-18
  81.82 4.79E-18
  81.85 4.33E-18
  81.88 5.11E-18
  81.95 8.89E-18
  81.99 7.83E-18
  82.02 7.74E-18
  82.05 7.45E-18
  82.09 8.32E-18
  82.12 6.74E-18
  82.16 6.05E-18
  82.25 2.07E-18
  82.30 2.54E-18
  82.37 5.00E-18
  82.40 5.33E-18
  82.45 6.68E-18
  82.49 5.90E-18
  82.53 6.49E-18
  82.56 6.93E-18
  82.62 9.82E-18
  82.66 9.69E-18
  82.69 9.09E-18
  82.72 8.90E-18
  82.78 8.05E-18
  82.81 7.76E-18
  82.87 6.52E-18
  82.91 6.26E-18
  82.94 6.58E-18
  83.05 4.14E-18
  83.11 4.49E-18
  83.16 5.12E-18
  83.25 5.11E-18
  83.28 6.77E-18
  83.32 9.73E-18
  83.37 9.52E-18
  83.40 9.52E-18
  83.43 1.23E-17
  83.46 8.00E-18
  83.52 1.29E-17
  83.56 1.08E-17
  83.59 1.05E-17
  83.73 6.43E-18
  83.76 6.16E-18
  83.85 4.48E-18
  83.93 5.88E-18
  83.97 6.16E-18
  84.00 6.53E-18
  84.05 6.53E-18
  84.15 5.46E-18
  84.20 7.37E-18
  84.25 1.10E-17
  84.29 1.50E-17
  84.35 1.41E-17
  84.46 9.68E-18
  84.70 5.59E-18
  84.85 6.90E-18
  84.88 6.96E-18
  84.97 6.03E-18
  85.13 1.38E-17
  85.20 1.16E-17
  85.28 1.52E-17
  85.43 1.06E-17
  85.56 6.77E-18
  85.63 1.10E-17
  85.67 8.48E-18
  85.70 9.63E-18
  85.76 6.08E-18
  85.79 5.23E-18
  85.82 5.13E-18
  85.91 4.25E-18
  85.95 5.37E-18
  85.98 5.33E-18
  86.02 5.37E-18
  86.06 1.23E-17
  86.11 9.41E-18
  86.15 1.13E-17
  86.20 8.98E-18
  86.23 8.09E-18
  86.29 1.92E-17
  86.33 1.46E-17
  86.37 1.54E-17
  86.40 9.55E-18
  86.44 6.54E-18
  86.47 4.69E-18
  86.50 3.46E-18
  86.53 5.76E-18
  86.59 6.82E-18
  86.63 6.21E-18
  86.67 6.48E-18
  86.71 6.10E-18
  86.77 6.76E-18
  86.86 1.16E-17
  86.89 1.20E-17
  86.94 1.59E-17
  87.00 1.22E-17
  87.03 1.18E-17
  87.11 7.75E-18
  87.14 6.78E-18
  87.17 7.18E-18
  87.21 7.34E-18
  87.28 6.86E-18
  87.31 6.88E-18
  87.40 6.01E-18
  87.43 5.46E-18
  87.48 5.42E-18
  87.51 5.68E-18
  87.55 6.10E-18
  87.58 6.85E-18
  87.61 7.24E-18
  87.62 6.94E-18
  87.65 6.73E-18
  87.68 6.88E-18
  87.79 1.13E-17
  87.82 1.27E-17
  87.86 1.15E-17
  87.89 1.06E-17
  87.94 8.72E-18
  87.98 1.07E-17
  88.02 9.49E-18
  88.11 1.23E-17
  88.18 2.01E-17
  88.23 1.57E-17
  88.25 1.88E-17
  88.30 1.46E-17
  88.34 1.04E-17
  88.40 8.54E-18
  88.43 8.61E-18
  88.50 1.63E-17
  88.53 1.61E-17
  88.57 1.61E-17
  88.63 1.05E-17
  88.68 5.20E-18
  88.73 8.46E-18
  88.76 8.93E-18
  88.79 9.70E-18
  88.84 1.36E-17
  88.94 5.37E-17
  89.09 1.44E-17
  89.20 7.83E-18
  89.27 7.94E-18
  89.41 1.16E-17
  89.45 1.18E-17
  89.56 1.90E-17
  89.66 5.39E-17
  89.69 9.37E-17
  89.73 1.94E-16
  89.80 9.16E-17
  89.87 4.65E-17
  89.96 2.46E-17
  90.10 1.67E-17
  90.15 1.58E-17
  90.24 1.44E-17
  90.28 1.44E-17
  90.37 1.50E-17
  90.51 1.73E-17
  90.61 2.49E-17
  90.68 3.49E-17
  90.76 3.62E-17
  90.85 2.74E-17
  91.05 1.98E-17
  91.14 1.82E-17
  91.21 1.78E-17
  91.34 1.80E-17
  91.42 1.84E-17
  91.48 1.81E-17
  91.60 2.02E-17
  91.70 2.22E-17
  91.78 2.35E-17
  91.90 2.59E-17
  92.00 2.33E-17
  92.14 1.79E-17
  92.23 1.65E-17
  92.34 1.65E-17
  92.40 1.65E-17
  92.44 1.75E-17
  92.48 1.71E-17
  92.51 1.67E-17
  92.58 1.68E-17
  92.60 1.65E-17
  92.68 1.70E-17
  92.88 1.65E-17
  93.00 2.03E-17
  93.03 2.30E-17
  93.15 2.04E-17
  93.30 1.31E-17
  93.46 8.57E-18
  93.56 7.99E-18
  93.62 7.80E-18
  93.69 8.00E-18
  93.76 8.92E-18
  94.02 1.21E-17
  94.16 1.90E-17
  94.22 1.57E-17
  94.32 1.70E-17
  94.48 9.81E-18
  94.52 9.29E-18
  94.60 8.64E-18
  94.67 8.01E-18
  94.81 7.04E-18
  94.91 6.57E-18
  94.97 7.54E-18
  95.09 7.94E-18
  95.23 6.95E-18
  95.37 6.55E-18
  95.48 7.76E-18
  95.57 8.19E-18
  95.69 8.38E-18
  95.78 8.04E-18
  95.84 8.18E-18
  96.00 9.65E-18
  96.07 9.22E-18
  96.17 9.10E-18
  96.28 1.02E-17
  96.41 9.28E-18
  96.48 8.40E-18
  96.60 8.15E-18
  96.75 7.88E-18
  96.83 8.69E-18
  96.92 9.29E-18
  97.03 9.78E-18
  97.25 1.14E-17
  97.34 1.08E-17
  97.46 1.03E-17
  97.62 8.37E-18
  97.67 7.70E-18
  97.75 8.32E-18
  97.85 8.27E-18
  97.92 8.56E-18
  98.01 7.69E-18
  98.13 5.83E-18
  98.21 7.22E-18
  98.38 1.00E-17
  98.46 1.10E-17
  98.61 9.98E-18
  98.69 9.31E-18
  98.85 8.93E-18
  98.96 8.74E-18
  99.06 9.28E-18
  99.17 8.52E-18
  99.33 9.45E-18
  99.42 9.12E-18
  99.52 7.38E-18
  99.61 8.21E-18
  99.66 7.18E-18
  99.76 8.55E-18
  99.88 1.13E-17
 100.00 1.22E-17
 100.07 1.27E-17
 100.19 1.10E-17
 100.26 1.11E-17
 100.40 1.05E-17
 100.46 9.98E-18
 100.55 1.04E-17
 100.62 1.03E-17
 100.76 1.00E-17
 100.88 1.01E-17
 100.94 9.67E-18
 101.00 9.06E-18
 101.08 8.00E-18
 101.15 7.19E-18
 101.23 5.62E-18
 101.35 6.92E-18
 101.42 7.63E-18
 101.60 8.54E-18
 101.69 1.03E-17
 101.78 1.06E-17
 101.94 8.56E-18
 102.08 8.74E-18
 102.24 1.04E-17
 102.34 1.19E-17
 102.47 1.08E-17
 102.57 9.31E-18
 102.71 6.47E-18
 102.82 4.64E-18
 102.93 3.10E-18
 103.02 2.50E-18
 103.08 2.56E-18
 103.19 5.24E-18
 103.36 5.91E-18
 103.43 5.30E-18
 103.55 5.51E-18
 103.65 6.43E-18
 103.72 6.85E-18
 103.81 5.64E-18
 103.91 2.69E-18
 103.99 4.03E-18
 104.09 6.51E-18
 104.25 5.98E-18
 104.29 6.35E-18
 104.35 6.40E-18
 104.41 6.89E-18
 104.53 5.81E-18
 104.66 4.15E-18
 104.71 3.46E-18
 104.78 2.48E-18
 104.95 2.33E-18
 105.01 2.87E-18
 105.06 3.51E-18
 105.24 5.12E-18
 105.42 4.69E-18
 105.47 3.48E-18
 105.55 3.54E-18
 105.64 3.90E-18
 105.88 4.28E-18
 105.95 3.16E-18
 106.17 2.89E-18
 106.26 3.38E-18
 106.36 4.27E-18
 106.51 5.34E-18
 106.64 3.36E-18
 106.70 2.75E-18
 106.76 2.41E-18
 106.85 2.15E-18
 106.89 2.07E-18
 106.99 1.95E-18
 107.07 2.15E-18
 107.14 2.10E-18
 107.22 2.28E-18
 107.27 2.29E-18
 107.32 2.40E-18
 107.39 2.37E-18
 107.53 2.41E-18
 107.60 2.52E-18
 107.70 2.69E-18
 107.78 2.95E-18
 107.98 2.22E-18
 108.16 2.62E-18
 108.30 2.07E-18
 108.46 2.00E-18
 108.61 2.15E-18
 108.68 1.85E-18
 108.77 1.43E-18
 108.87 1.09E-18
 109.00 1.16E-18
 109.11 1.14E-18
 109.17 1.11E-18
 109.27 1.12E-18
 109.34 1.12E-18
 109.46 1.10E-18
 109.59 1.18E-18
 109.71 1.10E-18
 109.79 1.06E-18
 109.95 9.75E-19
 110.06 9.75E-19
 110.16 7.31E-19
 110.21 6.32E-19
 110.32 6.18E-19
 110.38 4.96E-19
 110.44 5.37E-19
 110.50 6.03E-19
 110.60 6.71E-19
 110.72 8.60E-19
 110.78 8.32E-19
 110.83 1.00E-18
 110.89 1.07E-18
 110.99 1.21E-18
 111.05 1.14E-18
 111.16 9.81E-19
 111.24 9.10E-19
 111.32 8.99E-19
 111.44 8.59E-19
 111.51 8.78E-19
 111.65 8.78E-19
 111.75 7.89E-19
 111.79 7.53E-19
 111.83 7.39E-19
 111.91 7.28E-19
 111.96 6.98E-19
 112.13 6.66E-19
 112.25 6.31E-19
 112.40 6.38E-19
 112.48 6.00E-19
 112.51 5.43E-19
 112.60 4.91E-19
 112.62 4.90E-19
 112.69 4.25E-19
 112.73 5.09E-19
 112.83 3.99E-19
 112.91 3.89E-19
 112.96 3.03E-19
 113.04 2.87E-19
 113.14 2.46E-19
 113.19 2.20E-19
 113.28 2.22E-19
