1 2 1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 
5 1 1 2 2 29 1 31 1 33 1 -1 -1 -1 -1 -1 -1 
1 1 1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 
3 6 1 7 1 38 1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 
5 3 1 4 1 5 1 37 1 39 1 -1 -1 -1 -1 -1 -1 
8 3 1 4 1 6 1 17 1 18 1 20 1 21 1 41 1 
2 8 1 40 1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 
2 5 1 42 1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 
7 8 1 10 1 15 1 29 1 36 1 37 1 41 1 -1 -1 
7 7 1 11 1 13 1 15 1 33 1 35 1 39 1 -1 -1 
7 10 1 11 1 21 1 23 1 24 1 28 1 32 1 -1 -1 
4 9 1 27 1 30 1 35 1 -1 -1 -1 -1 -1 -1 -1 -1 
6 9 1 12 1 17 1 24 1 25 1 31 1 -1 -1 -1 -1 
5 12 1 14 1 26 1 34 1 36 1 -1 -1 -1 -1 -1 -1 
0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 
4 16 1 19 2 22 1 23 1 -1 -1 -1 -1 -1 -1 -1 -1 
1 18 1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 
2 20 1 22 1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 
1 25 1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 
6 30 1 32 1 34 1 38 1 40 1 42 1 -1 -1 -1 -1 
